Year,player,team,bbrefid,namefirst,namelast,suffix
2024,Aramis Garcia,PHI,garciar01,Aramis,Garcia,
2024,Dustin Harris,TEX,harridu01,Dustin,Harris,
2024,Stone Garrett,WSN,garrest01,Stone,Garrett,
2024,Greg Jones,COL,jonesgr02,Greg,Jones,
2024,Andrew Knapp,SFG,knappan01,Andrew,Knapp,
2024,Brian Anderson,ATL,anderbr06,Brian,Anderson,
2024,Sandro Fabian,TEX,fabiasa01,Sandro,Fabian,
2024,Tyler Gentry,KCR,gentrty01,Tyler,Gentry,
2024,Brewer Hicklen,MIL,hicklbr01,Brewer,Hicklen,
2024,Nick Maton,BAL,matonni01,Nick,Maton,
2024,Samad Taylor,SEA,taylosa04,Samad,Taylor,
2024,Duke Ellis,CHW,ellisdu01,Duke,Ellis,
2024,Duke Ellis,NYY,ellisdu01,Duke,Ellis,
2024,José Devers,MIA,deverjo01,José,Devers,
2024,Sam Huff,TEX,huffsa01,Sam,Huff,
2024,Myles Straw,CLE,strawmy01,Myles,Straw,
2024,Matthew Batten,SDP,battema01,Matthew,Batten,
2024,Orelvis Martínez,TOR,martior01,Orelvis,Martínez,
2024,David Bañuelos,BAL,banueda01,David,Bañuelos,
2024,Daniel Johnson,BAL,johnsda07,Daniel,Johnson,
2024,Chris Roller,MIL,rollech01,Chris,Roller,
2024,Eric Yang,CIN,yanger01,Eric,Yang,
2024,Mike Baumann,SEA,baumami01,Mike,Baumann,
2024,Jhony Brito,SDP,britojh01,Jhony,Brito,
2024,Kris Bubic,KCR,bubickr01,Kris,Bubic,
2024,Génesis Cabrera,TOR,cabrege01,Génesis,Cabrera,
2024,Danny Coulombe,BAL,couloda01,Danny,Coulombe,
2024,Jeff Criswell,COL,criswje01,Jeff,Criswell,
2024,Fernando Cruz,CIN,cruzfe01,Fernando,Cruz,
2024,Edwin Díaz,NYM,diazed04,Edwin,Díaz,
2024,Jake Diekman,NYM,diekmja01,Jake,Diekman,
2024,Mason Englert,DET,englema01,Mason,Englert,
2024,Buck Farmer,CIN,farmebu01,Buck,Farmer,
2024,Kyle Finnegan,WSN,finneky01,Kyle,Finnegan,
2024,Jason Foley,DET,foleyja01,Jason,Foley,
2024,Kyle Freeland,COL,freelky01,Kyle,Freeland,
2024,Luis Frías,ARI,friaslu01,Luis,Frías,
2024,Hunter Gaddis,CLE,gaddihu01,Hunter,Gaddis,
2024,Chad Green,TOR,greench03,Chad,Green,
2024,Seth Halvorsen,COL,halvose01,Seth,Halvorsen,
2024,Hunter Harvey,KCR,harvehu01,Hunter,Harvey,
2024,Ryan Helsley,STL,helslry01,Ryan,Helsley,
2024,Jonathan Hernández,TEX,hernajo02,Jonathan,Hernández,
