"playerid","bbrefid","name","player_url"
carrejo01,carrejo01,Joel Carreno,https://www.baseball-reference.com/players/c/carrejo01.shtml
carroch01,carroch01,Carroll,https://www.baseball-reference.com/players/c/carroch01.shtml
carropa01,carropa01,Pat Carroll,https://www.baseball-reference.com/players/c/carropa01.shtml
cartwal99,cartwal99,Alexander Cartwright,https://www.baseball-reference.com/players/c/cartwal99.shtml
cassied01,cassied01,Ed Cassian,https://www.baseball-reference.com/players/c/cassied01.shtml
castiru01,castiru02,Rusney Castillo,https://www.baseball-reference.com/players/c/castiru02.shtml
cayloop99,cayloop99,Ollie Caylor,https://www.baseball-reference.com/players/c/cayloop99.shtml
cedajo01,cedajo01,Jose Ceda,https://www.baseball-reference.com/players/c/cedajo01.shtml
chadwhe99,chadwhe99,Henry Chadwick,https://www.baseball-reference.com/players/c/chadwhe99.shtml
chandha99,chandha99,Happy Chandler,https://www.baseball-reference.com/players/c/chandha99.shtml
chapmfr01,chapmfr01,Frank Chapman,https://www.baseball-reference.com/players/c/chapmfr01.shtml
chattji01,chattji01,Jim Chatterton,https://www.baseball-reference.com/players/c/chattji01.shtml
cheadda01,cheadda01,Dave Cheadle,https://www.baseball-reference.com/players/c/cheadda01.shtml
childbi01,childbi01,Bill Childress,https://www.baseball-reference.com/players/c/childbi01.shtml
childsa01,childsa01,Sam Childs,https://www.baseball-reference.com/players/c/childsa01.shtml
churcle01,churcle01,Len Church,https://www.baseball-reference.com/players/c/churcle01.shtml
chylane99,chylane99,Nestor Chylak,https://www.baseball-reference.com/players/c/chylane99.shtml
clarede01,clarede01,Denny Clare,https://www.baseball-reference.com/players/c/clarede01.shtml
clarkbi01,clarkbi02,Bill Clarkson,https://www.baseball-reference.com/players/c/clarkbi02.shtml
clarkco01,clarkco01,Cody Clark,https://www.baseball-reference.com/players/c/clarkco01.shtml
clarkgl01,clarkgl01,Glen Clark,https://www.baseball-reference.com/players/c/clarkgl01.shtml
clarkji03,clarkji03,Jim Clark,https://www.baseball-reference.com/players/c/clarkji03.shtml
clarkwi03,clarkbi01,Win Clark,https://www.baseball-reference.com/players/c/clarkbi01.shtml
clemeed01,clemeed01,Fred Clement,https://www.baseball-reference.com/players/c/clemeed01.shtml
colemjo03,colemjo03,Walter Coleman,https://www.baseball-reference.com/players/c/colemjo03.shtml
colempe01,colempe01,Percy Coleman,https://www.baseball-reference.com/players/c/colempe01.shtml
collida01,collida01,Dan Collins,https://www.baseball-reference.com/players/c/collida01.shtml
collite99,collite99,Terry Collins,https://www.baseball-reference.com/players/c/collite99.shtml
collvbi01,collvbi01,Bill Collver,https://www.baseball-reference.com/players/c/collvbi01.shtml
conleed01,conleed01,Ed Conley,https://www.baseball-reference.com/players/c/conleed01.shtml
connoje01,connoje01,Jerry Connors,https://www.baseball-reference.com/players/c/connoje01.shtml
connore01,connore01,Red Connally,https://www.baseball-reference.com/players/c/connore01.shtml
connoto99,connoto99,Tommy Connolly,https://www.baseball-reference.com/players/c/connoto99.shtml
